Protein IDs,Frontal Cortex Young 1,Frontal Cortex Young 2,Frontal Cortex Young 3,Frontal Cortex Young 4,Frontal Cortex Old 1,Frontal Cortex Old 2,Frontal Cortex Old 3,Frontal Cortex Old 4,T-test Significant,T-test p value (-log10),T-test Difference,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Position,Gene Names,Uniprot,Protein Names
IPI00761390;IPI00130924;IPI00749757,-0.1,-0.05,-0.05,-0.23,0.06,0.11,0.01,0.08,,1.47,0.17,25,25,25,57.3,0.00E+00,70.422,2,+,126378760,Slc27a2;RP23-251E2.1-001;Acsvl1;Facvl1;Fatp2;Vlacs;Vlcs,Q3TN99;Q3UNR3;Q91WV6;O35488,"Putative uncharacterized protein;Solute carrier family 27 (Fatty acid transporter), member 2;Very long-chain acyl-CoA synthetase;Very long-chain-fatty-acid-CoA ligase;THCA-CoA ligase;Fatty-acid-coenzyme A ligase, very long-chain 1;Long-chain-fatty-acid--CoA ligase;Fatty acid transport protein 2;Solute carrier family 27 member 2"
IPI00261627,0,0.04,0.1,0.09,0.11,0.16,0.18,0.16,,1.46,0.1,24,24,24,60.7,0.00E+00,50.113,14,+,73952605,Sucla2,Q9Z2I9;Q05BC6;Q3U6C7;Q3UCC6;Q9CTE2,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial;ATP-specific succinyl-CoA synthetase subunit beta;Succinyl-CoA synthetase beta-A chain;Sucla2 protein;Putative uncharacterized protein"
IPI00678003;IPI00652888,-0.15,-0.19,-0.14,-0.18,-0.2,-0.21,-0.23,-0.25,,1.46,-0.06,5,5,5,38.9,6.65E-169,21.897,2,+,130493565,Itpa;RP23-175J8.1-001;mCG_18509,Q9D892;Q60I30;Q3U589,"Inosine triphosphate pyrophosphatase;Inosine triphosphatase (Nucleoside triphosphate pyrophosphatase);Putative uncharacterized protein;Inosine triphosphatase (Nucleoside triphosphate pyrophosphatase), isoform CRA_b"
IPI00115157;IPI00845803,0.11,0.08,-0.07,0.03,-0.09,-0.23,-0.2,-0.11,,1.46,-0.19,9,9,7,83.6,9.61E-242,14.485,6,-,60681573,Snca;Syn,O55042-1;O55042;O55042-2,Alpha-synuclein;Non-A beta component of AD amyloid;Non-A4 component of amyloid precursor
IPI00310091,-0.02,-0.04,-0.02,-0.02,-0.04,-0.08,-0.09,-0.07,,1.46,-0.05,19,19,17,44.8,0.00E+00,65.322,17,+,21082459,Ppp2r1a,Q76MZ3;Q7TMX2;Q8C2E1,"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform;PP2A, subunit A, PR65-alpha isoform;PP2A, subunit A, R1-alpha isoform;Protein phosphatase 2 (Formerly 2A), regulatory subunit A (PR 65), alpha isoform;Putative uncharacterized protein"
IPI00138342;IPI00857416;IPI00350959,1.5,0.81,0.95,0.75,1.63,1.86,1.49,1.81,,1.45,0.69,8,7,7,17,3.86E-139,61.171,8,-,95622917,Es1,P23953,Liver carboxylesterase N;PES-N;Lung surfactant convertase
IPI00380331;IPI00473408;IPI00124541;IPI00473371,-0.15,-0.2,-0.18,-0.17,-0.2,-0.24,-0.28,-0.3,,1.45,-0.08,14,14,11,28.9,5.89E-96,69.122,17,-,46819941,Ppp2r5d;mCG_2696;ppp2r5d,Q7TNL5;Q8K5D8;Q91V89;Q99PC9,"Protein phosphatase 2A B56 delta subunit;Protein phosphatase 2, regulatory subunit B (B56), delta isoform, isoform CRA_a;Protein phosphatase 2a regulatory b56-delta subunit;Protein phosphatase 2, regulatory subunit B (B56), delta isoform;Protein phosphatase 2A B56delta regulatory subunit;Putative uncharacterized protein;Protein phosphatase 2, regulatory subunit B (B56), delta isoform, isoform CRA_b;Protein phosphatase 2 regulatory subunit B56 delta isoform"
IPI00649778;IPI00875723;IPI00474502;IPI00470962;IPI00624499,-0.02,-0.01,-0.05,-0.04,-0.11,-0.06,-0.06,-0.09,,1.45,-0.05,21,21,1,40.1,0.00E+00,72.902,11,-,5869675,Camk2b;RP23-340E18.5-009;mCG_122182;Camk2d;Camk2g;RP23-340E18.5-004,Q5SVJ0;Q8K4W5;Q9WVJ1;P28652;Q8BL41;Q68EG2;Q5SVI3,"Calcium/calmodulin-dependent protein kinase II, beta;Calcium/calmodulin-dependent protein kinase II, beta, isoform CRA_b;Calmodulin-dependent protein kinase II beta M isoform insert;Calmodulin-dependent protein kinase II beta M isoform;Calcium/calmodulin-dependent protein kinase type II beta chain;Putative uncharacterized protein;Camk2b protein"
IPI00117944;IPI00857415;IPI00858161,0,-0.04,-0.01,0,-0.09,-0.13,-0.17,-0.05,,1.44,-0.1,7,7,7,21.2,1.70E-49,44.123,7,-,54144746,Tsg101;mCG_123182;CC2,Q61187;Q3UCW0;Q3UK08;Q6LBE4,Tumor susceptibility gene 101 protein;ESCRT-I complex subunit TSG101;Putative uncharacterized protein;MCG123182;CC2 protein
IPI00403381,0.09,0.04,0.02,0.06,0.16,0.19,0.17,0.09,,1.44,0.1,3,1,1,30.8,6.36E-07,11.813,17,+,31657120,Ndufv3,Q8BK30,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial;NADH-ubiquinone oxidoreductase 9 kDa subunit;Complex I-9kD"
IPI00762919,0.25,0.55,0.4,0.4,0.19,0.17,0.02,0.18,,1.44,-0.26,10,9,9,13.6,9.13E-35,115.2,5,-,135882410,Hip1;Kiaa4113,Q8VD75;Q8C303,Huntingtin-interacting protein 1;Putative uncharacterized protein
IPI00380795;IPI00653670,0.33,0.04,0.32,0.23,-0.08,-0.01,-0.03,0.04,,1.44,-0.25,3,3,3,4.5,1.40E-26,76.278,1,+,36568721,Cnnm3;Acdp3,Q32NY4-1;Q32NY4;C6KI94;Q32NY4-2,Metal transporter CNNM3;Cyclin-M3;Ancient conserved domain-containing protein 3
IPI00227749;IPI00153728;IPI00123651;IPI00889817,0.24,0.32,0.22,0.3,0.14,0.02,0.06,0.2,,1.44,-0.17,11,11,11,31.4,2.37E-84,55.674,8,-,113530559,Ddx19b;mCG_133615;Ddx19a;Ddx19;Eif4a-rs1;mCG_132574,Q8BZY3;Q8R3C7;Q61655;Q543M2,"Putative uncharacterized protein;DEAD (Asp-Glu-Ala-Asp) box polypeptide 19b;MCG133615, isoform CRA_a;ATP-dependent RNA helicase DDX19A;DEAD box protein 19A;DEAD box RNA helicase DEAD5;Eukaryotic translation initiation factor 4A-related sequence 1;MCG132574"
IPI00874318;IPI00229777,0.03,0.01,0.01,0.01,-0.1,-0.04,-0.06,-0.02,,1.44,-0.07,8,7,7,9.2,3.17E-16,107.72,9,-,44156182,Vps11,Q5FWZ1;Q8BYQ1;Q8C027;Q91W86,Vacuolar protein sorting 11 (Yeast);Putative uncharacterized protein;Vacuolar protein sorting-associated protein 11 homolog
IPI00411157;IPI00881222;IPI00619988;IPI00880426;IPI00816961;IPI00816972;IPI00880921;IPI00881939;IPI00882244;IPI00880691;IPI00876558,0.11,0.08,0,0.12,-0.14,-0.1,-0.01,-0.03,,1.44,-0.15,12,12,1,12.5,4.32E-193,175.67,5,+,81450227,Lphn3;Kiaa0768;Lec3,Q80TS3-3;Q80TS3;Q80TS3-1;Q80TS3-5;Q80TS3-4,Latrophilin-3;Lectomedin-3
IPI00654420;IPI00131548;IPI00719901;IPI00720189,-0.13,-0.18,-0.09,-0.05,0.02,-0.01,-0.03,0,,1.44,0.11,9,9,8,35,1.09E-110,35.873,8,+,28153075,Prosc;mCG_2245,Q3UYN1;Q9Z2Y8;Q544R1;Q80ZV3;Q6P8V7,Putative uncharacterized protein;Proline synthetase co-transcribed bacterial homolog protein;Proline synthetase co-transcribed
IPI00132042,-0.04,-0.03,-0.02,-0.02,-0.01,0.03,0,0.01,,1.43,0.03,11,11,11,53.5,1.23E-169,38.937,14,-,8998512,Pdhb,Q9D051,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial"
IPI00759940;IPI00129928,0.03,0.07,0.11,0.1,0.12,0.16,0.18,0.18,,1.42,0.08,22,22,22,74.8,0.00E+00,54.356,1,-,177531515,Fh;Fh1;mCG_4564,P97807-2;P97807;Q3UIA9;P97807-1,"Fumarate hydratase, mitochondrial;EF-3;Putative uncharacterized protein;Fumarate hydratase 1"
IPI00659932;IPI00553387;IPI00867815;REV__IPI00339877,0.11,-0.08,-0.04,0.07,-0.18,-0.28,-0.16,-0.13,,1.42,-0.2,13,13,13,12.2,7.81E-70,131.86,7,+,94750952,Grm5;Gprc1e;Mglur5,Q3UVX5-1;Q3UVX5;B2BH30;B7ZMP7;Q8BJY3,Metabotropic glutamate receptor 5;Metabotropic glutamate receptor subtype 5b;Grm5 protein;Putative uncharacterized protein
IPI00120495;IPI00876109;IPI00229961;IPI00229962;IPI00830289;IPI00474360,0.03,0.09,0.06,0.05,-0.04,-0.02,0,0.02,,1.42,-0.06,14,14,11,42.6,1.04E-148,42.435,7,-,52232097,Prmt1;Hrmt1l2;Mrmt1,Q9JIF0-1;Q9JIF0;Q80WV6;Q9JIF0-2;Q3TPF5;Q3UIG8;Q80WB1;Q8C2D7;Q9JIF0-3;Q9CX58,Protein arginine N-methyltransferase 1;Prmt1 protein;Putative uncharacterized protein
IPI00222759;IPI00895174,-0.29,-0.52,-0.66,-0.48,-0.79,-1.11,-0.95,-0.72,,1.42,-0.41,19,19,19,62.8,0.00E+00,45.817,8,+,116729530,Vat1l;Kiaa1576;AI427515,Q80TB8;Q8BL94,Synaptic vesicle membrane protein VAT-1 homolog-like;Putative uncharacterized protein
IPI00387337;IPI00461581,,0.08,-0.01,0.1,-0.22,-0.28,-0.08,-0.16,,1.42,-0.24,12,10,10,31.7,3.19E-27,48.063,12,-,36818849,Bzw2,Q91VK1;Q3TRM2;Q3V199,Basic leucine zipper and W2 domain-containing protein 2;Putative uncharacterized protein
IPI00623259;IPI00459424,0.05,-0.03,0,0,0.21,0.21,0.15,0.05,,1.42,0.15,4,4,4,6.1,3.58E-107,82.043,17,+,34092827,Vps52;Are1,Q8C754-1;Q8C754;Q3V3A4;Q8C754-2;O70545,Vacuolar protein sorting-associated protein 52 homolog;Putative uncharacterized protein;Are1 protein
IPI00315808,0.1,0.1,0.15,0.12,0.21,0.25,0.27,0.15,,1.41,0.1,7,7,1,91.2,4.49E-285,11.101,13,-,101505910,Mrps36,Q9CQX8,"28S ribosomal protein S36, mitochondrial;MRP-S36"
IPI00134746;IPI00457825,-0.28,-0.47,-0.46,-0.56,-0.1,-0.29,-0.21,-0.12,,1.41,0.26,25,25,25,70.9,0.00E+00,46.584,2,+,31325822,Ass1;Ass;RP23-442G9.2-001;mCG_19004,P16460;Q3UEJ7;Q3UJ34,Argininosuccinate synthase;Citrulline--aspartate ligase
IPI00129298;IPI00954326,-0.03,0.09,0.06,-0.01,-0.1,-0.12,-0.17,-0.04,,1.4,-0.14,14,14,2,63.7,0.00E+00,41.614,10,+,79256317,Palm;mKIAA0270,Q9Z0P4-1;Q9Z0P4;Q6ZQE7;Q8CB16;Q3UZP7,Paralemmin;MKIAA0270 protein;Putative uncharacterized protein
IPI00229008,-0.03,0.07,0.12,0.1,0.15,0.21,0.18,0.22,,1.4,0.13,5,5,5,36,1.55E-78,19.784,13,-,115078859,Ndufs4,Q9CXZ1;Q923F9;Q9CTT4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial;NADH-ubiquinone oxidoreductase 18 kDa subunit;Complex I-18 kDa;Complex I-AQDQ;NADH dehydrogenase (Ubiquinone) Fe-S protein 4;Putative uncharacterized protein"
IPI00123557;IPI00856697,0.08,0.18,0.05,0.03,-0.24,-0.12,-0.16,0.01,,1.4,-0.22,10,10,10,26.8,2.93E-64,51.112,7,-,52677222,Ruvbl2;mCG_23165,Q9WTM5;Q3TXT7;Q3UXP2,RuvB-like 2;p47 protein;Putative uncharacterized protein;RuvB-like protein 2
IPI00266899;IPI00653179;IPI00760016;IPI00759922;IPI00760030,-0.04,-0.08,-0.1,-0.11,-0.14,-0.25,-0.16,-0.17,,1.39,-0.1,9,9,6,68.5,9.40E-124,11.922,2,+,151368310,Fkbp1a;Fkbp1;RP23-419G21.5-001;mCG_13187;RP23-419G21.5-002,P26883;A2AT05;Q3UBA0;Q3ULN5;A2AT06;Q3UKJ3,"Peptidyl-prolyl cis-trans isomerase FKBP1A;FK506-binding protein 1A;Rotamase;Immunophilin FKBP12;FK506 binding protein 1a;MCG13187, isoform CRA_a;Putative uncharacterized protein"
IPI00556847;IPI00553402;IPI00849156;IPI00471444;IPI00406213;IPI00753831;IPI00462809;IPI00762625;IPI00850020;IPI00853676;IPI00169625;IPI00659847,-1.37,-2.26,-2.05,-1.72,-1.29,0.5,-0.61,-0.12,,1.39,1.47,7,7,2,48.1,8.92E-209,26.301,6,+,67674908,Igk;Igk-C;236047;LOC100046793;Gm1499;EP3-1VL,Q58EU8;Q66JS7;A0A5E3;Q7TS98;Q2VT27;Q2VT29;Q5XFY8;P01837;A2NHM3;A2NVW8;B5UB67;A2P1G9;Q65ZC0,Igk protein;LOC100046793 protein;Anti-colorectal carcinoma light chain;Anti-lipoteichoic acid light chain variable region;Putative uncharacterized protein;Ig kappa chain C region;If kappa light chain;Light chain variable region;EP3-1 light chain variable region;Kappa light chain;Kappa light chain C_region
IPI00420231;IPI00875027,-0.01,0.16,0.25,0.14,-0.02,-0.08,-0.09,-0.03,,1.38,-0.19,17,17,17,38,2.34E-191,74.559,19,-,53065673,Xpnpep1;mCG_20868,Q3UE92;Q6P1B1;Q3TL27;Q3UKF5;Q8BKH1;Q8BV43;Q8VDK8,"Putative uncharacterized protein;X-prolyl aminopeptidase (Aminopeptidase P) 1, soluble, isoform CRA_b;Xaa-Pro aminopeptidase 1;X-Pro aminopeptidase 1;X-prolyl aminopeptidase 1, soluble;Cytosolic aminopeptidase P;Soluble aminopeptidase P;Aminoacylproline aminopeptidase;X-prolyl aminopeptidase;Xpnpep1 protein"
IPI00136135;IPI00228632,0.13,0.25,0.29,0.06,0.01,0.01,-0.05,0,,1.37,-0.19,10,10,1,11.9,6.59E-228,135,15,+,30102348,Ctnnd2;Catnd2;Nprap,O35927-1;O35927;B7ZNF6;Q3US07;Q3USD8;O35927-2,Catenin delta-2;Neural plakophilin-related ARM-repeat protein;Neurojungin;Ctnnd2 protein;Putative uncharacterized protein
IPI00845795;IPI00515576;IPI00515260,-0.05,0.03,-0.05,-0.1,-0.19,-0.16,-0.16,-0.11,,1.37,-0.11,13,13,13,13.6,1.24E-152,139.13,11,-,21905831,Ehbp1;Kiaa0903,Q69ZW3-1;Q69ZW3;Q69ZW3-2,EH domain-binding protein 1
IPI00469987;IPI00880620;IPI00458508,0.09,-0.01,-0.04,-0.04,-0.06,-0.23,-0.27,-0.18,,1.37,-0.19,14,14,14,39.9,4.86E-233,51.012,19,-,21465797,Gda;mKIAA1258,Q9R111;Q3U0C4;Q548F2;Q69ZN0;Q6DFY1,Guanine deaminase;Guanine aminohydrolase;Putative uncharacterized protein;MKIAA1258 protein;Gda protein
IPI00139788;IPI00857411,0.95,0.13,0.27,0.49,1,1.12,1.08,1.11,,1.37,0.62,41,41,39,68.4,0.00E+00,76.723,9,-,103106331,Tf;Trf,Q921I1,Serotransferrin;Siderophilin;Beta-1 metal-binding globulin
IPI00624663;IPI00831211,0.93,0.1,0.22,0.39,1.31,1.07,0.9,1.62,,1.37,0.82,46,46,45,39.5,0.00E+00,167.28,6,-,128433585,A2m;Pzp,Q61838,Alpha-2-macroglobulin;Pregcy zone protein;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit
IPI00624843;IPI00225917,-1.14,-0.78,-0.76,-0.96,0.01,-0.52,-0.61,-0.07,,1.37,0.61,9,9,9,49.1,2.40E-192,32.148,2,-,57897551,Ermn;Kiaa1189,Q5EBJ4,Ermin;Juxtanodin
IPI00229287;IPI00798571,-0.02,0.1,0.04,0.02,-0.09,-0.05,-0.11,-0.04,,1.36,-0.11,19,19,19,26.6,9.01E-83,103.32,10,-,89102695,Scyl2;Cvak104;D10Ertd802e,Q8CFE4-1;Q8CFE4;Q80UY7;Q8CFE4-2,SCY1-like protein 2;Coated vesicle-associated kinase of 104 kDa;Scyl2 protein
IPI00828826;IPI00421237;IPI00648678;IPI00648633;IPI00648270;IPI00620578,-0.98,-0.91,-0.66,-0.78,-0.14,-0.64,-0.5,-0.28,,1.35,0.44,7,7,7,12.1,1.48E-19,80.063,4,+,53453529,Slc44a1;RP23-20E10.4-005;Cd92;Cdw92;Ctl1;RP23-20E10.4-006;RP23-20E10.4-001;RP23-20E10.4-003,A2AMH4;Q6X893-2;Q6X893;Q6X893-1;A2AMH5;Q14DK0;A2AMH3,"Solute carrier family 44, member 1;Choline transporter-like protein 1;Solute carrier family 44 member 1"
IPI00761511;IPI00856743;IPI00653287;IPI00856301;IPI00652350,0.19,0.5,0.37,0.12,-0.37,,-0.35,-0.02,,1.35,-0.54,4,4,4,13.9,2.23E-13,46.281,10,+,3294060,Ipcef1;Kiaa0403,Q5DU31-2;Q5DU31;Q5DU31-1;Q5DU31-3,Interactor protein for cytohesin exchange factors 1
IPI00930784,0.02,0.08,0.13,0.14,0.14,0.24,0.23,0.22,,1.35,0.12,23,23,1,46.6,0.00E+00,79.776,1,-,63190177,Ndufs1;RP23-13C17.2-001;mCG_114998,Q3TIU7;Q3UIQ2;Q3UQ73,NADH-ubiquinone oxidoreductase 75 kDa subunit
IPI00554845;IPI00228150;REV__IPI00153558,-0.14,-0.1,-0.09,-0.08,-0.07,-0.06,-0.06,-0.04,,1.35,0.05,40,40,2,66.4,0.00E+00,87.822,6,+,71781325,Immt,Q8CAQ8-5;Q8CAQ8;A6H604;Q8CAQ8-1;Q2YDW0;Q3TEY5,Mitochondrial inner membrane protein;Mitofilin;Immt protein;Putative uncharacterized protein
IPI00467296;IPI00132485,0.06,0.02,0.09,-0.07,-0.16,-0.24,-0.18,-0.04,,1.34,-0.18,3,3,3,25.4,2.84E-06,14.269,18,-,36563738,Pfdn1;mCG_121970,Q8CEH4;Q8R3R9;Q9CQF7;Q9CWM4,Putative uncharacterized protein;Prefoldin 1;Prefoldin subunit 1
IPI00230754;IPI00648357;IPI00648119,-0.04,-0.09,-0.02,-0.04,0,0.05,0.03,-0.01,,1.33,0.07,9,9,9,44.9,2.34E-134,34.155,11,-,70457702,Slc25a11;DN-183N8.13-001;RP23-326P7.2-001;mCG_21174,Q9CR62;Q5SX53;Q9CTC7,"Mitochondrial 2-oxoglutarate/malate carrier protein;Solute carrier family 25 member 11;Putative uncharacterized protein;Solute carrier family 25 (Mitochondrial carrier; oxoglutarate carrier), member 11;Solute carrier family 25 (Mitochondrial carrier oxoglutarate carrier), member 11, isoform CRA_b"
IPI00111519;IPI00462625;IPI00458927,-0.15,-0.05,-0.01,0,0.1,0.07,0.17,0.03,,1.33,0.15,4,4,4,22,1.35E-16,35.032,11,+,121296274,Fn3k;RP23-293H17.4-001;mCG_12364;RP23-293H17.4-002;RP23-293H17.4-003,Q9ER35;B1ATT8;Q7TQJ3;Q6P264,Fructosamine-3-kinase;Fructosamine 3 kinase;Putative uncharacterized protein;Fn3k protein
IPI00230665,0.35,0.45,0.42,0.29,0.02,-0.16,-0.07,0.31,,1.33,-0.35,26,1,1,40,0.00E+00,93.539,9,-,49310257,Ncam1;Ncam,P13595-2;P13595,Neural cell adhesion molecule 1
IPI00330887;IPI00467747;IPI00856781,0.04,0.13,0.09,0.13,-0.07,0.01,-0.01,-0.18,,1.33,-0.16,3,3,3,17,8.10E-13,37.9,3,+,156224933,Negr1;Kiaa3001;Ntra;mCG_141003,Q80Z24;A0A4W9,"Neuronal growth regulator 1;Kindred of IgLON;Neurotractin;Putative uncharacterized protein;Neuronal growth regulator 1, isoform CRA_c"
IPI00128154,0.19,,0.09,0.06,0.3,0.28,0.29,,,1.33,0.18,5,5,5,23.1,7.93E-45,37.547,13,-,64465105,Ctsl1;Ctsl;mCG_14471,P06797;Q3TNC8;Q3TT75;Q3TVJ1;Q3U5U9;Q3UHZ4;Q3UWH6;Q543M3;Q6LAF5;Q9D0C0,Cathepsin L1;Major excreted protein;p39 cysteine proteinase;Cathepsin L1 heavy chain;Cathepsin L1 light chain;Putative uncharacterized protein;Cathepsin L
IPI00875923;IPI00222393;IPI00653324,0.01,-0.06,-0.06,-0.12,-0.14,-0.16,-0.23,-0.14,,1.32,-0.11,12,12,12,52.7,1.98E-57,37.89,3,+,7503426,Fam164a,Q8BJH1-1;Q8BJH1;Q8BJH1-2,UPF0418 protein FAM164A
IPI00120199;IPI00750433,-0.14,-0.09,-0.19,-0.1,-0.04,-0.07,0.01,0.08,,1.32,0.13,8,8,8,24.8,1.97E-34,58.278,2,+,26244868,Pmpca;Inpp5e;RP23-306D20.8-001;mCG_18769;RP23-306D20.8-002,Q9DC61;A2AIW8;Q3TTM6;Q3TY06;Q3UDE0;Q8BK51;A2AIW9,"Mitochondrial-processing peptidase subunit alpha;Alpha-MPP;P-55;Peptidase (Mitochondrial processing) alpha;Peptidase (Mitochondrial processing) alpha, isoform CRA_b;Putative uncharacterized protein;Peptidase (Mitochondrial processing) alpha, isoform CRA_a"
IPI00113073,0.19,0.27,0.33,0.29,0.03,-0.36,-0.39,0.11,,1.31,-0.42,10,9,9,26.4,2.88E-176,57.552,4,+,45811993,Aldh1b1;Aldhx;RP23-358I3.2-001;mCG_51656,Q9CZS1;B1AWX7,"Aldehyde dehydrogenase X, mitochondrial;Aldehyde dehydrogenase family 1 member B1;Aldehyde dehydrogenase 1 family, member B1"
IPI00136653,-0.03,-0.01,0.02,0.07,0.06,0.15,0.11,0.21,,1.31,0.12,1,1,1,8.5,5.75E-14,26.925,11,+,67779960,Stx8;RP23-25D18.1-001;mCG_140386,O88983;Q5F234,"Syntaxin-8;Syntaxin-like protein 3I35;Syntaxin 8;Syntaxin 8, isoform CRA_a"
IPI00785371;IPI00406778;IPI00115762;IPI00831568;IPI00875089;IPI00828482;IPI00828531;IPI00471339;IPI00928282,-0.03,0.05,0.1,0.06,-0.06,-0.07,-0.12,-0.01,,1.31,-0.11,12,12,12,13.1,3.51E-131,140.91,X,-,71099117,L1cam;RP23-373N8.1-001;RP23-373N8.1-008;L1;Caml1;RP23-373N8.1-010,Q6PGJ3;A2AFG8;Q9QYQ7;P11627;A2AFG7,L1 cell adhesion molecule;Neural cell adhesion molecule L1
IPI00309844;IPI00170364,-0.03,-0.08,-0.05,0,-0.11,-0.08,-0.13,-0.09,,1.3,-0.06,17,16,16,13.9,1.57E-60,182.55,1,-,59219776,Als2,Q920R0-1;Q920R0;Q3TAJ7,Alsin;Amyotrophic lateral sclerosis protein 2 homolog;Putative uncharacterized protein
IPI00402913;IPI00761635;IPI00670546;IPI00894843;IPI00919055,0.06,0.11,0.1,0.15,0.06,0.04,0.05,0.01,,1.29,-0.07,6,6,4,58.6,4.36E-89,16.367,16,-,15555598,Ube2v2;Mms2;Uev2;RP23-310H3.1-001;mCG_126823;mCG_127675;RP23-310H3.1-003;RP23-310H3.1-004,Q9D2M8-1;Q9D2M8;Q4VBX4;A6X925;Q9D2M8-2;B2KF55,"Ubiquitin-conjugating enzyme E2 variant 2;Ubc-like protein MMS2;Putative uncharacterized protein;MCG127675;Ubiquitin-conjugating enzyme E2 variant 2, isoform CRA_a;Ubiquitin-conjugating enzyme E2 variant 2, isoform CRA_b"
IPI00930793;IPI00311780;IPI00128152,0.1,0.1,0.07,0.09,0.06,-0.03,0.04,-0.04,,1.29,-0.08,11,11,9,13.8,1.81E-89,145.97,5,+,8660087,Abcb1a;Abcb4;Mdr1a;Mdr3;Pgy-3;Pgy3;Abcb1b;mdr1b,P21447;Q3UMH0;Q9CVG4;Q9QX25,Multidrug resistance protein 3;ATP-binding cassette sub-family B member 1A;P-glycoprotein 3;MDR1A;Putative uncharacterized protein;P-glycoprotein
IPI00124593,,0.28,0.33,0.3,0.23,0.05,0.18,0.2,,1.29,-0.14,1,1,1,11.9,3.41E-04,11.557,1,-,59696278,Sumo1;Smt3c;Smt3h3;Ubl1,P63166,Small ubiquitin-related modifier 1;Ubiquitin-like protein SMT3C;SMT3 homolog 3;Ubiquitin-homology domain protein PIC1
IPI00225275;IPI00831057,-0.26,0.03,-0.09,-0.05,0.08,0.65,0.61,0.22,,1.28,0.48,25,25,22,47.3,0.00E+00,97.285,19,+,6384415,Pygm,Q9WUB3;Q9CTZ0,"Glycogen phosphorylase, muscle form;Myophosphorylase;Putative uncharacterized protein"
IPI00465770;IPI00607991;IPI00759974,-0.08,0.01,-0.13,-0.08,-0.23,-0.23,-0.18,-0.12,,1.28,-0.12,10,10,6,14.1,3.60E-20,96.293,6,+,29867013,Fam40b;Kiaa1170;D330017J20Rik;mCG_121273,Q8C9H6-1;Q8C9H6;B2RW20;Q8C9H6-3;Q8C9H6-4,"Protein FAM40B;Family with sequence similarity 40, member B;RIKEN cDNA D330017J20, isoform CRA_a"
IPI00117312,-0.03,0.01,0.05,0.05,0.06,0.09,0.12,0.12,,1.28,0.08,23,23,23,83.5,0.00E+00,47.411,8,-,98388036,Got2;Got-2,P05202,"Aspartate aminotransferase, mitochondrial;Transaminase A;Glutamate oxaloacetate transaminase 2;Fatty acid-binding protein;FABP-1;FABPpm"
IPI00875526;IPI00154020;IPI00227698,-0.13,-0.05,0,-0.1,-0.04,0.21,0.19,0.14,,1.27,0.2,8,8,8,14.1,1.28E-21,101.82,2,-,120142335,Vps39;mKIAA0770;Pldn;Vam6;RP23-27L22.4-001;mVAM6;RP23-27L22.4-002,Q6ZQ51;Q8R5L3-1;Q8R5L3;Q3URK7;Q3USV9;Q8BY36;Q8R5L3-2;Q3TC98;Q5KU38;Q8BUJ2;Q8C051,MKIAA0770 protein;Vam6/Vps39-like protein;Putative uncharacterized protein;Vacuolar protein sorting 39 (Yeast);MVAM6
IPI00169448;IPI00856169;IPI00856562,-0.03,-0.04,-0.08,-0.03,-0.11,-0.07,-0.12,-0.08,,1.27,-0.05,6,6,6,34.4,6.25E-49,20.9,7,-,13620588,Ube2m;Ubc-rs2;Ubc12,P61082,NEDD8-conjugating enzyme Ubc12;Ubiquitin-conjugating enzyme E2 M;NEDD8 protein ligase;NEDD8 carrier protein
IPI00133218,-0.09,-0.08,-0.08,-0.07,-0.04,0.02,0.02,-0.06,,1.27,0.06,6,3,3,38.7,1.17E-77,21.539,6,+,108733076,Arl8b;Arl10c;Gie1,Q9CQW2;Q9DAB3,ADP-ribosylation factor-like protein 8B;ADP-ribosylation factor-like protein 10C;Novel small G protein indispensable for equal chromosome segregation 1;Putative uncharacterized protein
IPI00830613,0.04,0.03,-0.05,0.01,-0.03,-0.1,-0.06,-0.09,,1.27,-0.08,29,27,1,51.9,0.00E+00,98.314,2,+,156246645,Epb41l1;Epb4;Epb4.1l1;Kiaa0338,Q9Z2H5-1;Q9Z2H5,Band 4.1-like protein 1;Neuronal protein 4.1;4.1N
IPI00133215,0.09,0.06,0.09,0.13,0.2,0.17,0.24,0.12,,1.27,0.09,5,5,5,52.6,1.61E-173,16.331,8,+,86090660,Ndufb7,Q9CR61,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7;NADH-ubiquinone oxidoreductase B18 subunit;Complex I-B18
IPI00310323;IPI00108371;IPI00895390;IPI00653972,-0.21,-0.09,0.07,0.21,0.43,,0.32,0.24,,1.27,0.34,9,9,9,22.3,4.62E-40,50.966,11,-,88785336,Scpep1;Risc;RP23-176J13.1-001;mCG_1482,Q920A5;Q9D625;Q99J29;Q3U5P4,"Retinoid-inducible serine carboxypeptidase;Serine carboxypeptidase 1;Putative uncharacterized protein;Serine carboxypeptidase 1, isoform CRA_b"
