Protein IDs,Frontal Cortex Expression Change,Hippocampus Expression Change,Cerebellum Expression Change,Heart Expression Change,Kidney Expression Change,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Chromosomal Position,Gene Names,Uniprot,Protein Names
IPI00110598,,1.45,,,,6,3,3,13.3,8.96E-15,51.1,5,-,71352296,Gabra2;Gabra-2;mCG_126643,P26048;Q544G1;Q8C8J1,"Gamma-aminobutyric acid receptor subunit alpha-2;GABA(A) receptor subunit alpha-2;Putative uncharacterized protein;Gamma-aminobutyric acid (GABA-A) receptor, subunit alpha 2"
IPI00110659,-0.03,0.13,0.13,0.03,0.16,4,4,4,13.9,3.13E-15,38.2,12,-,73751398,Dhrs7;Retsdr4,Q9CXR1,Dehydrogenase/reductase SDR family member 7;Retinal short-chain dehydrogenase/reductase 4
IPI00110679;IPI00652508,-0.02,0.25,,,0.19,10,10,10,27.4,1.73E-29,45,3,-,117484577,Snx7;mCG_10440,Q9CY18;Q5M8N3;Q3TC10,Sorting nexin-7;Putative uncharacterized protein;Sorting nexin 7;MCG10440
IPI00110684,-0.11,-0.04,-0.04,0.18,0.19,18,18,18,79.9,0.00E+00,32.7,10,+,61111369,Ppa1;Pp;Pyp,Q9D819;Q3UA53;Q4FK49;Q8BTY3,Inorganic pyrophosphatase;Pyrophosphate phospho-hydrolase;Putative uncharacterized protein;Pyp protein
IPI00110719,,,,,0.08,10,10,10,48.7,3.81E-60,43.8,11,-,77694206,Pipox;Pso;RP23-199H17.2-001;mCG_10817,Q9D826;Q3UEJ8,Peroxisomal sarcosine oxidase;L-pipecolate oxidase;L-pipecolic acid oxidase;Putative uncharacterized protein;Pipecolic acid oxidase
IPI00110721;IPI00112630;IPI00831130,0.02,0.19,0.05,0.1,-0.03,18,18,18,72.5,1.18E-198,33.3,11,-,76035025,Glod4,Q9CPV4-1;Q9CPV4;Q9CPV4-3;Q7TMP4;Q9CPV4-2,Glyoxalase domain-containing protein 4;Glod4 protein
IPI00110729,-0.02,0.16,0.01,,-0.12,4,4,4,34.7,2.85E-25,24.6,4,+,40895564,Chmp5;Snf7dc2;RP23-28I8.4-001;mCG_9813,Q9D7S9;B1AY07,"Charged multivesicular body protein 5;Chromatin-modifying protein 5;SNF7 domain-containing protein 2;Chromatin modifying protein 5;Chromatin modifying protein 5, isoform CRA_b"
IPI00110760,-0.04,0.04,-0.15,0.14,0.18,9,9,9,30,4.36E-58,37.8,3,-,151846919,Dnajb4,Q9D832,DnaJ homolog subfamily B member 4
IPI00110766,,,,,,1,1,1,10.3,7.02E-07,21.1,12,+,36816963,Ube2f;Ube2fa,Q9CY34,NEDD8-conjugating enzyme UBE2F;Ubiquitin-conjugating enzyme E2 F;NEDD8 protein ligase UBE2F;NEDD8 carrier protein UBE2F;NEDD8-conjugating enzyme 2
IPI00110827,,,,,,14,1,1,66.3,0.00E+00,42.1,8,-,126415669,Acta1;Acta,P68134;Q61264;Q61272,"Actin, alpha skeletal muscle;Alpha-actin-1;Skeletal muscle alpha-actin mRNA.;Alpha-actin (Aa 40-375)"
IPI00110852;IPI00755329;IPI00672270,0.14,0.07,0.13,,,2,2,2,6.4,6.94E-07,33.7,13,-,38070087,Ssr1;Trap-alpha,Q52PE3;Q9CY50;A8C1W9;Q3TV94,"Translocon-associated protein alpha, muscle specific isoform;Translocon-associated protein subunit alpha;Signal sequence receptor subunit alpha;Putative uncharacterized protein"
IPI00110862;IPI00785357;IPI00132447,-0.08,-0.12,-0.16,,,5,5,5,22.3,1.36E-54,23.7,9,+,75473548,Lysmd2,Q9D7V2-1;Q9D7V2;Q9D7V2-2,LysM and putative peptidoglycan-binding domain-containing protein 2
IPI00110867,,,,,,2,2,2,13.5,7.55E-27,26.9,7,-,140019146,Mettl10,Q9D853,Methyltransferase-like protein 10
IPI00110931;IPI00461325;IPI00461326;IPI00881775,0.04,0.02,,,,2,2,2,8.7,5.29E-06,23.5,3,-,129527838,Gar1;Nola1,Q9CY66-1;Q9CY66;Q3TKG5;Q9CY66-2;Q9CY66-3,H/ACA ribonucleoprotein complex subunit 1;snoRNP protein GAR1;Nucleolar protein family A member 1;Putative uncharacterized protein
IPI00111004,0,-0.06,-0.02,-0.04,-0.03,8,8,8,43.1,5.24E-86,21.2,6,-,54935643,Ggct,Q9D7X8,Gamma-glutamylcyclotransferase
IPI00111045,-0.14,,,,,3,3,3,15.9,1.82E-07,39.8,7,-,29090843,Timm50;Tim50,Q9D880,Mitochondrial import inner membrane translocase subunit TIM50
IPI00111117,0.05,-0.09,-0.19,0.12,-0.12,6,6,6,47.7,2.06E-97,17,2,+,38863596,Arpc5l;RP23-244N6.5-001,Q9D898;A3KGQ6,Actin-related protein 2/3 complex subunit 5-like protein;Arp2/3 complex 16 kDa subunit 2;Actin-related protein 2/3 complex subunit 5
IPI00111149,-0.13,0.07,-0.06,,,8,8,8,26.8,1.99E-47,40.1,16,-,38445488,Adprh;Arh1;mCG_129090,P54923;Q3U5N4;Q9CTF5,"[Protein ADP-ribosylarginine] hydrolase;ADP-ribose-L-arginine cleaving enzyme;Putative uncharacterized protein;ADP-ribosylarginine hydrolase, isoform CRA_a"
IPI00111151,0.18,-0.14,-0.19,0.32,0.82,21,21,19,39.4,2.09E-189,75.5,5,-,121390511,Rph3a;rph,P47708;Q768S5,Rabphilin-3A;Exophilin-1;Rabphilin
IPI00111158;IPI00857267;IPI00857221;IPI00856877;IPI00857603;IPI00751689,0.03,0.32,-0.08,-0.11,,10,10,10,9.8,1.22E-57,130.7,9,+,107302064,Cacna2d2;Kiaa0558,Q6PHS9-6;Q6PHS9;Q6PHS9-3;Q6PHS9-1;Q6PHS9-5;Q6PHS9-2;Q6PHS9-4;Q920H7,Voltage-dependent calcium channel subunit alpha-2/delta-2;Voltage-gated calcium channel subunit alpha-2/delta-2;Protein ducky;Voltage-dependent calcium channel subunit alpha-2-2;Voltage-dependent calcium channel subunit delta-2;Voltage-dependent calcium channel alpha-2-delta-2 mutant subunit 1
IPI00111163;IPI00620389,0.96,0.11,0.16,,0.16,5,5,5,14.3,6.52E-11,54.4,17,+,44215809,Enpp5;mKIAA4152,Q9EQG7;Q5DTL0;Q5FWJ8,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5;MKIAA4152 protein;Enpp5 protein
IPI00111167;IPI00228912;IPI00869401,,,,,,2,2,2,6.4,6.77E-11,71.1,13,+,97312690,Col4a3bp;Stard11,Q9EQG9-1;Q9EQG9;Q8BSX8;Q9EQG9-2;Q9EQG9-3,Collagen type IV alpha-3-binding protein;Ceramide transfer protein;Goodpasture antigen-binding protein;StAR-related lipid transfer protein 11;START domain-containing protein 11;Putative uncharacterized protein
IPI00111168;IPI00785381,0.41,0.12,,0.17,,7,4,4,20.2,8.39E-14,51.8,1,-,134010238,Pctk3;mCG_2609,Q04899;Q0VDL6,Serine/threonine-protein kinase PCTAIRE-3;PCTAIRE-motif protein kinase 3;Pctk3 protein
IPI00111181,-0.02,0.02,0.06,0.11,-0.04,16,16,15,26.1,0.00E+00,91.7,8,-,87784293,Vps35;Mem3;mCG_14323,Q9EQH3;Q3TJ43;Q3TKU6;Q3TRJ1;Q3TUV7;Q3UQJ1,"Vacuolar protein sorting-associated protein 35;Vesicle protein sorting 35;Maternal-embryonic 3;Putative uncharacterized protein;Vacuolar protein sorting 35, isoform CRA_a"
IPI00111209;IPI00471182;IPI00869451,0.04,-0.01,-0.08,-0.14,0.43,6,6,6,5,1.90E-38,137.2,13,-,59550896,Agtpbp1;Ccp1;Nna1,Q641K1-1;Q641K1;Q641K1-2;Q641K1-3;Q8C1R2,Cytosolic carboxypeptidase 1;ATP/GTP-binding protein 1;Nervous system nuclear protein induced by axotomy;Putative uncharacterized protein;Agtpbp1 protein
IPI00111211,,,,0,,1,1,1,3.5,3.42E-08,32.1,7,-,85920229,Mrpl46,Q9EQI8;Q9D9V9,"39S ribosomal protein L46, mitochondrial;Putative uncharacterized protein"
IPI00111218;IPI00858077,0.07,0.15,0.25,0.06,-0.08,19,18,18,56.6,0.00E+00,56.5,5,-,122017718,Aldh2;Ahd-1;Ahd1;mCG_16016,P47738;Q3TVM2;Q3U6I3;Q3U9J7;Q3UJW1;Q544B1,"Aldehyde dehydrogenase, mitochondrial;ALDH class 2;AHD-M1;ALDHI;ALDH-E2;Putative uncharacterized protein;Aldehyde dehydrogenase 2, mitochondrial, isoform CRA_b"
IPI00111245,-0.41,-0.02,0.43,,,4,4,4,10.8,8.37E-36,52.8,4,+,34011607,Cnr1;RP24-407G18.1-001;mCG_12569,P47746;B1AZT0;Q99NU3,Cannabinoid receptor 1;Brain-type cannabinoid receptor;Cannabinoid receptor 1 (Brain);MCG12569
IPI00111258;IPI00858189,0.38,1.32,0.1,0.41,0.43,11,11,11,17.7,5.01E-56,96.9,7,-,134130383,Mvp;mCG_142722,Q9EQK5;Q3THX5;Q3U7S9;Q8C2S9;Q922X6,"Major vault protein;Putative uncharacterized protein;Major vault protein, isoform CRA_a"
IPI00111265;IPI00881762;IPI00857651,-0.01,-0.14,0.05,-0.03,0.22,11,11,7,65.4,0.00E+00,33,6,+,17587113,Capza2;Cappa2;mCG_13469,P47754;Q3U7G3;Q3UBZ3;Q3UCD2;Q5DQJ3,"F-actin-capping protein subunit alpha-2;CapZ alpha-2;Putative uncharacterized protein;F-actin capping protein alpha-2 subunit;Capping protein (Actin filament) muscle Z-line, alpha 2, isoform CRA_c"
IPI00111271,-0.06,0.11,0.4,-0.06,,4,4,4,17.1,4.33E-11,29.6,9,-,103091420,Srprb,P47758;Q542X6,Signal recognition particle receptor subunit beta;Putative uncharacterized protein
IPI00111286,-0.25,-0.89,,,0.25,4,4,4,15.4,4.38E-36,38.2,15,+,88650076,Creld2,Q9CYA0,Cysteine-rich with EGF-like domain protein 2
IPI00111320;IPI00756736;IPI00856993;IPI00885544,0.06,0.04,-0.05,-2.28,-0.27,10,10,10,26.2,3.93E-53,61,3,-,94301472,Snx27;Kiaa0488,Q3UHD6-1;Q3UHD6;Q3UHD6-2;Q8BYM0,Sorting nexin-27;Putative uncharacterized protein
IPI00111343,,,,,,4,3,3,19.3,2.45E-12,33.4,4,-,122804368,Ppie;Cyp33,Q9QZH3,Peptidyl-prolyl cis-trans isomerase E;Cyclophilin E;Cyclophilin-33
IPI00111359;IPI00760002,-0.08,0.16,0.07,0.09,-0.04,15,15,15,47.2,3.56E-248,53.7,8,+,34764012,Gsr;Gr1,P47791-1;P47791;Q3TWI5;Q3TXK9;Q3U9P5;Q3U9R7;Q3UAS7;Q3UB84;Q91Z57;P47791-2,"Glutathione reductase, mitochondrial;Putative uncharacterized protein;Gsr protein"
IPI00111412,-0.06,-0.01,-0.05,0.01,0.04,16,16,16,43.2,2.65E-159,47.2,9,+,64021181,Rpl4;mCG_12784,Q9D8E6;Q564E8;Q5ZEY2;Q9CSM5,60S ribosomal protein L4;Putative uncharacterized protein;Ribosomal protein L4
IPI00111416,-0.11,-0.03,0.06,0.13,0.13,6,6,6,33.6,4.33E-65,31.2,4,-,132410277,Stx12;RP23-464L12.3-001;mCG_118857,Q9ER00;A2ADS0;Q3TDG9;Q3TIL5,Syntaxin-12;Syntaxin 12;Putative uncharacterized protein
IPI00111495;IPI00720194;IPI00649969,-0.16,0,,0.28,0.18,5,5,5,48.5,1.98E-26,12,4,+,123582253,Mycbp;Amy1;RP23-29H22.2-001;mCG_5766;RP23-29H22.2-002,Q9EQS3;Q3V1X1;Q8C5M8;Q8R048;A2A7K5,"C-Myc-binding protein;Associate of Myc 1;Putative uncharacterized protein;C-myc binding protein;C-myc binding protein, isoform CRA_b"
IPI00111501,0.14,-0.19,-0.11,0.62,-0.03,13,10,10,82.8,6.23E-150,15.4,13,+,54472713,Cplx2,P84086,Complexin-2;Complexin II;Synaphin-1;921-L
IPI00111512,,,,0.14,,2,2,2,3.5,1.50E-06,58.9,4,+,102986451,Oma1,Q9D8H7-1;Q9D8H7,"Metalloendopeptidase OMA1, mitochondrial"
IPI00111519;IPI00462625;IPI00458927,0.15,0.04,0.34,-0.5,-0.09,4,4,4,22,1.35E-16,35,11,+,121296274,Fn3k;RP23-293H17.4-001;mCG_12364;RP23-293H17.4-002;RP23-293H17.4-003,Q9ER35;B1ATT8;Q7TQJ3;Q6P264,Fructosamine-3-kinase;Fructosamine 3 kinase;Putative uncharacterized protein;Fn3k protein
IPI00111540,,0.76,,,-0.21,3,3,3,37.2,3.99E-06,16.6,X,-,7581327,Glod5,Q9D8I3,Glyoxalase domain-containing protein 5
IPI00111556;IPI00473972,0.12,-0.56,,,,2,1,1,6.8,2.59E-63,35.6,8,+,34710097,Ppp2cb,P62715;Q8BN07;Q8VED4,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform;Serine/threonine protein phosphatase
IPI00111558,0.01,,,,,2,2,2,9.4,1.86E-09,36.1,5,+,134575618,Gatsl1;Gats,Q8CAB8,GATS-like protein 1
IPI00111600,-0.11,-0.04,-0.17,,-0.38,7,7,7,22.2,2.28E-151,46.9,10,+,59568967,Spock2;Ticn2;mKIAA0275,Q9ER58;Q6PAN0;Q80U51,"Testican-2;SPARC/osteonectin, CWCV, and Kazal-like domains proteoglycan 2;Spock2 protein;MKIAA0275 protein"
IPI00111639,,0,,,,5,4,4,3.5,1.02E-26,195.8,13,-,46844456,Kif13a,Q9EQW7,Kinesin-like protein KIF13A
IPI00111730;IPI00954636;IPI00880676,0.11,0.07,0.05,,,4,4,4,15.1,9.40E-116,40.4,19,+,60887494,Fam45;1810055E12Rik;mCG_23044,Q9D8N2;Q3TH34,"Protein FAM45;Putative uncharacterized protein;RIKEN cDNA 1810055E12, isoform CRA_b"
IPI00111770;IPI00875971,0.01,-0.04,-0.06,-0.05,-0.26,7,7,6,98.6,1.16E-85,8.2,5,-,108862263,Atp5i;Atp5k;Lfm-1;Lfm1,Q06185;Q5EBI8,"ATP synthase subunit e, mitochondrial;ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit e"
IPI00111793;IPI00890881,-0.14,0.26,0.08,-0.07,0.49,13,13,13,14.5,8.97E-130,136.6,13,+,13529958,Nid1;Ent,P10493;Q3TKX9,Nidogen-1;Entactin;Nidogen 1;Putative uncharacterized protein
IPI00111831;IPI00121297,-0.03,0,-0.07,0.07,0.06,54,54,54,41.4,0.00E+00,220.6,10,+,127472701,Naca;Gm1878,P70670,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Alpha-NAC, muscle-specific form"
IPI00111836;IPI00929825,0.05,,,,0.26,1,1,1,2.6,2.81E-25,46.9,7,+,52253036,Irf3;IRF3;mCG_23141,P70671;O54726;Q3U9K6;Q3UJM9;C0IXK2,"Interferon regulatory factor 3;Interferon regulatory factor-3;Putative uncharacterized protein;Interferon regulatory factor 3, isoform CRA_a;Interferon regulatory factor 3 transcript variant a"
IPI00111855;IPI00626334;IPI00889871;IPI00230105;IPI00882271;IPI00648293;IPI00649126,,,,,0.07,3,2,2,16.1,8.03E-11,42,3,-,98545447,Hsd3b3;RP23-112E4.4-001;mCG_140534;RP23-112E4.4-006;RP23-112E4.3-001;Hsd3b2;Hsd3b6;RP23-112E4.5-001;mCG_19918;3beta-Hsd VI,P26150;B1ARN8;B1ARP1;Q5FW73;B1ARN7;P26149;Q3UQN7;Q76CU3;Q7TPU0,"3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 3;3-beta-HSD III;3-beta-hydroxy-Delta(5)-steroid dehydrogenase;3-beta-hydroxy-5-ene steroid dehydrogenase;Progesterone reductase;Steroid Delta-isomerase;Delta-5-3-ketosteroid isomerase;Hydroxysteroid dehydrogenase-2, delta<5>-3-beta;MCG140534, isoform CRA_a;Hydroxy-delta-5-steroid dehydrogenase, 3 beta-and steroid delta-isomerase 3;3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2;3-beta-HSD II;Hydroxysteroid dehydrogenase-6, delta<5>-3-beta;Putative uncharacterized protein;MCG19918;3beta-hydroxysteroid dehydrogenase VI;Hsd3b6 protein"
IPI00111876;IPI00874670,-0.55,-0.6,0.16,,0.11,4,4,4,32.9,1.22E-99,22.5,9,+,106350992,Abhd14b;Cib,Q8VCR7,Abhydrolase domain-containing protein 14B;CCG1-interacting factor B
IPI00111885;IPI00653598,0.08,0.07,-0.05,-0.03,-0.18,5,5,5,18.8,7.70E-229,52.8,9,+,108838721,Uqcrc1;mCG_16482,Q9CZ13;Q3THM1;Q3TIC8;Q3TV75;Q8K2S8;Q8VEJ2,"Cytochrome b-c1 complex subunit 1, mitochondrial;Ubiquinol-cytochrome-c reductase complex core protein 1;Complex III subunit 1;Putative uncharacterized protein;Ubiquinol-cytochrome c reductase core protein 1;Uqcrc1 protein"
IPI00111902,,,,,,2,2,1,8,1.86E-04,30.4,14,-,57742141,Gjb6;Cxn-30;mCG_13730,P70689;Q3URC5;Q3UYK0,Gap junction beta-6 protein;Connexin-30;Gap junction protein
IPI00111908;IPI00894663,0.17,-0.01,,,,6,6,6,6.1,1.23E-72,164.6,1,+,67169640,Cps1;AC101854.1-001,Q8C196;Q561M8;B2KGV2;Q9JLU2,"Carbamoyl-phosphate synthase [ammonia], mitochondrial;Carbamoyl-phosphate synthetase I;Cps1 protein;Carbamoyl-phosphate synthetase 1;Carbamoylphosphate synthetase I"
IPI00111931,0.03,-0.07,,0.09,0.36,6,6,6,15.2,1.98E-56,57.6,15,-,83130170,Arfgap3,Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3
IPI00111936;IPI00480429;IPI00417182;IPI00134691;IPI00830493;IPI00831661;IPI00830280;IPI00112322;IPI00127223;IPI00875581;IPI00122337;IPI00128137;IPI00923053;IPI00919241;IPI00918992;IPI00919028,,,,,0.16,9,3,3,31,1.19E-43,60.3,1,+,89952057,Ugt1;Ugt1a2;mCG_14318;Ugt1a1;UGT;Ugt1a5;LE137,P70691;Q545X2;Q6XL49;Q561M6;Q6XL50;Q9R0A4;B2RT14;Q6XL48;Q76K67;Q63886,"UDP-glucuronosyltransferase 1-2;UGT1*0;UGT1-02;UGT1A2;Bilirubin specific;Putative uncharacterized protein;MCG14318, isoform CRA_b;UDP glucuronosyltransferase 1 family, polypeptide A2;Ugt1a2 protein;UDP glycosyltransferase 1 family polypeptide A2;UDP glucuronosyltransferase 1 family, polypeptide A1;UDP glycosyltransferase 1 family polypeptide A1;UDP-glucuronosyltransferase 1A1;MCG14318, isoform CRA_h;UDP glucuronosyltransferase 1 family, polypeptide A5;UDP glycosyltransferase 1 family polypeptide A5;Putative uncharacterized protein LE137;UDP-glucuronosyltransferase 1-1;UGT1-01;UGT1A1;UGTBR1"
IPI00111949;IPI00648364,-0.1,,,,,2,2,2,12.8,8.31E-05,28.9,11,+,95896271,Snf8;D11Moh34;RP23-235J5.2-005,Q9CZ28;A2A6M1,"Vacuolar-sorting protein SNF8;ESCRT-II complex subunit VPS22;SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae)"
IPI00111950;IPI00918396;IPI00121531;IPI00113128,,,,,,2,1,1,5.3,2.41E-04,37,13,+,4433607,Akr1c6;Hsd17b5;mCG_9091;Akr1c20;mCG_9092,P70694;Q3UEM0;Q8VC77;Q9CZU0,"Estradiol 17 beta-dehydrogenase 5;17-beta-HSD 5;Putative uncharacterized protein;MCG9091, isoform CRA_d;Akr1c20 protein;Aldo-keto reductase;MCG9092, isoform CRA_c;MCG9092, isoform CRA_b"
IPI00111954,,-0.28,,-0.09,0.76,5,5,5,14.5,1.33E-71,36.9,13,-,62938244,Fbp2;mCG_22016,P70695;Q3TH92;Q3TKP4,"Fructose-1,6-bisphosphatase isozyme 2;D-fructose-1,6-bisphosphate 1-phosphohydrolase 2;RAE-30;Putative uncharacterized protein;Fructose bisphosphatase 2"
IPI00111958,0.01,-0.03,-0.14,-0.23,-0.02,2,2,2,6.5,4.17E-26,40.7,4,-,116662823,Urod,P70697,Uroporphyrinogen decarboxylase
IPI00111959,,0.03,,,0.25,6,5,5,12.4,2.04E-35,66.7,4,-,120212474,Ctps;RP23-106K5.3-001;mCG_122871,P70698;B1AS53;Q3TPP2,"CTP synthase 1;UTP--ammonia ligase 1;CTP synthetase 1;Cytidine 5'-triphosphate synthase;Cytidine 5'-triphosphate synthase, isoform CRA_a;Putative uncharacterized protein"
IPI00111981;IPI00754697;IPI00227836,-0.03,-0.03,-0.08,0.1,0.21,21,21,20,52.8,7.91E-282,44.7,2,-,72931257,Ola1;Gtpbp9;RP23-275P21.1-005,Q9CZ30-1;Q9CZ30;Q3TJF2;Q3TW21;B1AYJ9;Q9CZ30-2,Obg-like ATPase 1;GTP-binding protein 9;Putative uncharacterized protein
IPI00112001;IPI00882316,0.11,-0.1,-0.11,0.04,0.09,18,18,18,46.2,9.88E-241,52.9,13,+,46597494,Cap2,Q9CYT6;Q8BKZ3,Adenylyl cyclase-associated protein 2;Adenylyl cyclase-associated protein
IPI00112017;IPI00652635;IPI00653232;IPI00830588,0.14,,0.5,-0.17,0.18,6,6,5,14,3.18E-65,65.5,X,+,159339170,Ctps2;RP23-31A20.5-001;RP23-31A20.5-006;RP23-31A20.5-003,P70303-1;P70303;A2AEQ7;P70303-2;A2AEQ8;P70303-3;A2AEQ6,CTP synthase 2;UTP--ammonia ligase 2;CTP synthetase 2;Cytidine 5'-triphosphate synthase 2
IPI00112032;IPI00895023;IPI00894581,-0.11,-0.01,0.07,-0.08,-0.02,7,7,7,44.9,4.78E-231,36.7,8,+,11497602,Carkd,Q9CZ42-1;Q9CZ42;Q9CZ42-3;Q9CZ42-2,Carbohydrate kinase domain-containing protein
IPI00112043;IPI00894613,0.47,0.27,,,0.03,1,1,1,11.5,4.65E-04,15.4,10,+,119664139,Llph,Q9D945-1;Q9D945,Protein LLP homolog;Protein LAPS18-like
IPI00112053,0.04,0.15,0.09,0.36,-0.02,20,20,5,58.7,1.76E-87,46.8,2,-,144075859,Snx5;RP23-35E16.2-001,Q9D8U8;A2ANA4;Q3TJN6;Q3TXT4;Q8C5E7,Sorting nexin-5;Sorting nexin 5;Putative uncharacterized protein
IPI00112072;IPI00408103;IPI00228576;IPI00754923,-0.41,-0.14,,0.29,-0.22,4,4,4,11.4,3.00E-39,41.7,2,+,152495224,Hm13;H13;Psl3;RP23-35I8.11-001;mCG_3727;RP23-35I8.11-002;RP23-35I8.11-003,Q9D8V0-1;Q9D8V0;A3KGS1;Q3TXP0;Q861Q5;Q8HWB5;Q15K37;Q8HWA9;Q9D8V0-3;A3KGR9,"Minor histocompatibility antigen H13;Signal peptide peptidase;Presenilin-like protein 3;Histocompatibility 13;Histocompatibility 13, isoform CRA_a;Putative uncharacterized protein;H13 protein;Signal peptide peptidase beta;Histocompatibility 13, isoform CRA_b"
IPI00112093,,-0.07,,,,2,2,2,3.4,5.88E-15,65.4,18,+,12802292,Ttc39c,Q8VE09,Tetratricopeptide repeat protein 39C
IPI00112129,,0.12,0.11,,-0.36,14,14,14,55.6,3.15E-231,48.3,2,-,122420612,Gatm;RP23-101F14.1-001;mCG_10419,Q9D964;A2AK36;Q3UAM0;Q3UKD9;Q6IU01,"Glycine amidinotransferase, mitochondrial;L-arginine:glycine amidinotransferase;Transamidinase;AT;Glycine amidinotransferase (L-arginine:glycine amidinotransferase);Putative uncharacterized protein"
IPI00112138,,,,,,1,1,1,7.3,3.56E-07,18.6,14,-,56276731,Mdp1,Q9D967,Magnesium-dependent phosphatase 1
IPI00112139,0.07,-0.1,-0.09,,-0.67,4,4,4,27.3,1.65E-34,16.9,5,-,73713438,Ociad2,Q9D8W7,OCIA domain-containing protein 2
IPI00112190,-0.74,0.02,,0.06,0,11,6,6,47.6,2.27E-110,35.2,13,-,35038491,1810022C23Rik;mCG_120270,Q78JN3,"Putative uncharacterized protein;MCG120270, isoform CRA_a"
IPI00112227;IPI00894982,-0.02,,,-0.13,-0.45,2,2,2,11.7,2.69E-16,21.5,7,-,97599240,Tmem126a,Q9D8Y1;B0LAC9,Transmembrane protein 126A
IPI00112251;IPI00662501,0.04,0.14,-0.09,0.33,-0.46,11,8,7,56.9,0.00E+00,50.4,8,+,125935453,Tubb3,Q9ERD7;Q9CRT0,Tubulin beta-3 chain;Putative uncharacterized protein
IPI00112278,,,,0.03,,1,1,1,17.1,2.84E-24,8.8,5,+,115791256,Triap1;15e1.1,Q9D8Z2,TP53-regulated inhibitor of apoptosis 1;p53-inducible cell-survival factor;Protein 15E1.1;WF-1
IPI00112320;IPI00880901;IPI00622766,-0.02,0.08,,,-0.12,5,5,5,26.9,3.13E-23,33.8,9,-,54562542,Wdr61;mCG_9684,Q9ERF3;A0MNP4;Q8BKW0;Q8BVQ0;Q9CWZ4,"WD repeat-containing protein 61;Meiotic recombination REC14 protein homolog;CDW13/WDR61;WD repeat domain 61, isoform CRA_c;Putative uncharacterized protein"
IPI00112327;IPI00938432;IPI00886191;IPI00886413,-0.03,0,0.2,-0.04,-0.02,5,5,5,15.8,6.85E-39,51.3,3,-,89013011,Mtx1;Mtx;Mtxn;mCG_17553,P47802;Q8R5C0,"Metaxin-1;Mitochondrial outer membrane import complex protein 1;Metaxin 1;Putative uncharacterized protein;Metaxin;Metaxin 1, isoform CRA_a"
IPI00112335;IPI00649311;IPI00875050,0.02,-0.09,-0.12,0.39,0.35,11,11,11,43.8,1.35E-157,44.1,11,-,65501746,Map2k4;Jnkk1;Prkmk4;Sek1;Serk1;RP23-340L19.1-005,P47809;Q543X6;Q8K2U0,"Dual specificity mitogen-activated protein kinase kinase 4;MAPK/ERK kinase 4;JNK-activating kinase 1;C-JUN N-terminal kinase kinase 1;SAPK/ERK kinase 1;Mitogen activated protein kinase kinase 4, variant 1;Putative uncharacterized protein;Map2k4 protein"
IPI00112339;IPI00759925;IPI00874516,-0.19,-0.04,0.1,,0.14,14,13,13,23.9,8.25E-73,84.1,15,-,99608939,Lima1;D15Ertd366e;Eplin;mCG_20141,Q9ERG0-2;Q9ERG0;Q8BT15;Q8C3R7;Q8C7S2;Q8K2H0;Q9ERG0-1;Q8CD09,LIM domain and actin-binding protein 1;Epithelial protein lost in neoplasm;Putative uncharacterized protein;Lima1 protein;LIM domain and actin binding 1
IPI00112374,,0.15,,,,3,3,3,19,2.48E-36,25,9,+,72892672,Rab27a;Rab27A;rab27a;mCG_8043,Q9ERI2;Q544U7,"Ras-related protein Rab-27A;Putative uncharacterized protein;Rab27A;RAB27A, member RAS oncogene family, isoform CRA_a"
IPI00112377,-0.09,0.03,0.26,0.5,-0.03,3,3,3,12.9,8.97E-81,36.4,12,+,10397598,Rdh14,Q9ERI6;Q3UQM5;Q569U9,Retinol dehydrogenase 14;Alcohol dehydrogenase PAN2;Putative uncharacterized protein;Retinol dehydrogenase 14 (All-trans and 9-cis)
IPI00112414,-0.01,0.05,0.06,-0.05,-0.05,24,24,24,29.7,0.00E+00,110.5,2,+,166731596,Cse1l;Xpo2;RP23-19L12.9-001;mCG_14604,Q9ERK4;A2A5S1;Q9CSW8,Exportin-2;Importin-alpha re-exporter;Chromosome segregation 1-like protein;Chromosome segregation 1-like (S. cerevisiae);Putative uncharacterized protein
IPI00112419,,,,,,1,1,1,1.1,4.69E-14,156.8,11,-,6497827,Nacad;Kiaa0363,Q5SWP3,NAC-alpha domain-containing protein 1
IPI00112446;IPI00944768,-0.16,0.1,-0.08,,,6,6,6,16.6,2.68E-45,53.3,9,-,75491071,Scg3;mCG_1139,P47867;Q3UTT1;Q3UZT8;Q8R1D7,"Secretogranin-3;Secretogranin III;Putative uncharacterized protein;Secretogranin III, isoform CRA_b;Scg3 protein"
